month_start,year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2024-08-01,2024,Summer,Weekend,Commercial & Employment Core,145386,145595,209,54226
2024-08-01,2024,Summer,Weekend,Commuter-Heavy Transit Hub,5266,4784,-482,3638
2024-08-01,2024,Summer,Weekend,Leisure & Waterfront,35051,36569,1518,13651
2024-08-01,2024,Summer,Weekend,Residential & Inner-Suburban Feeder,38716,37645,-1071,23966
2024-09-01,2024,Fall,Weekday,Commercial & Employment Core,426074,420532,-5542,123694
2024-09-01,2024,Fall,Weekday,Commuter-Heavy Transit Hub,37733,42997,5264,9832
2024-09-01,2024,Fall,Weekday,Leisure & Waterfront,52251,56165,3914,28328
2024-09-01,2024,Fall,Weekday,Residential & Inner-Suburban Feeder,103252,99199,-4053,56481
2024-09-01,2024,Fall,Weekend,Commercial & Employment Core,154427,154575,148,54192
2024-09-01,2024,Fall,Weekend,Commuter-Heavy Transit Hub,6177,5751,-426,3753
2024-09-01,2024,Fall,Weekend,Leisure & Waterfront,30276,31814,1538,13511
2024-09-01,2024,Fall,Weekend,Residential & Inner-Suburban Feeder,38869,38117,-752,23781
2024-10-01,2024,Fall,Weekday,Commercial & Employment Core,406293,401261,-5032,131224
2024-10-01,2024,Fall,Weekday,Commuter-Heavy Transit Hub,38834,45667,6833,10760
2024-10-01,2024,Fall,Weekday,Leisure & Waterfront,38746,42048,3302,26456
2024-10-01,2024,Fall,Weekday,Residential & Inner-Suburban Feeder,97547,92100,-5447,58297
2024-10-01,2024,Fall,Weekend,Commercial & Employment Core,122811,122949,138,46503
2024-10-01,2024,Fall,Weekend,Commuter-Heavy Transit Hub,5166,5300,134,3220
2024-10-01,2024,Fall,Weekend,Leisure & Waterfront,20341,21173,832,10303
2024-10-01,2024,Fall,Weekend,Residential & Inner-Suburban Feeder,29513,28714,-799,19567
2024-11-01,2024,Fall,Weekday,Commercial & Employment Core,290724,287794,-2930,113700
2024-11-01,2024,Fall,Weekday,Commuter-Heavy Transit Hub,28436,35270,6834,9624
2024-11-01,2024,Fall,Weekday,Leisure & Waterfront,20891,22917,2026,18157
2024-11-01,2024,Fall,Weekday,Residential & Inner-Suburban Feeder,68737,62646,-6091,47788
2024-11-01,2024,Fall,Weekend,Commercial & Employment Core,95770,96034,264,47753
2024-11-01,2024,Fall,Weekend,Commuter-Heavy Transit Hub,4147,4373,226,3344
2024-11-01,2024,Fall,Weekend,Leisure & Waterfront,9649,10352,703,8051
2024-11-01,2024,Fall,Weekend,Residential & Inner-Suburban Feeder,22447,21485,-962,18856
2024-12-01,2024,Winter,Weekday,Commercial & Employment Core,139020,136802,-2218,87444
2024-12-01,2024,Winter,Weekday,Commuter-Heavy Transit Hub,12861,16390,3529,7353
2024-12-01,2024,Winter,Weekday,Leisure & Waterfront,8365,9042,677,9643
2024-12-01,2024,Winter,Weekday,Residential & Inner-Suburban Feeder,29518,27482,-2036,28835
2024-12-01,2024,Winter,Weekend,Commercial & Employment Core,42411,42290,-121,33429
2024-12-01,2024,Winter,Weekend,Commuter-Heavy Transit Hub,1879,2000,121,2074
2024-12-01,2024,Winter,Weekend,Leisure & Waterfront,3154,3460,306,3733
2024-12-01,2024,Winter,Weekend,Residential & Inner-Suburban Feeder,8888,8631,-257,10341
2025-01-01,2025,Winter,Weekday,Commercial & Employment Core,117134,114911,-2223,86424
2025-01-01,2025,Winter,Weekday,Commuter-Heavy Transit Hub,13018,15539,2521,7935
2025-01-01,2025,Winter,Weekday,Leisure & Waterfront,6663,7390,727,8282
2025-01-01,2025,Winter,Weekday,Residential & Inner-Suburban Feeder,23473,22447,-1026,26418
2025-01-01,2025,Winter,Weekend,Commercial & Employment Core,29463,29645,182,27099
2025-01-01,2025,Winter,Weekend,Commuter-Heavy Transit Hub,1240,1262,22,1577
2025-01-01,2025,Winter,Weekend,Leisure & Waterfront,1966,2212,246,2662
2025-01-01,2025,Winter,Weekend,Residential & Inner-Suburban Feeder,6191,5761,-430,7885
2025-02-01,2025,Winter,Weekday,Commercial & Employment Core,72933,71929,-1004,59651
2025-02-01,2025,Winter,Weekday,Commuter-Heavy Transit Hub,8489,9716,1227,5799
2025-02-01,2025,Winter,Weekday,Leisure & Waterfront,4044,4467,423,5081
2025-02-01,2025,Winter,Weekday,Residential & Inner-Suburban Feeder,13950,13262,-688,16651
2025-02-01,2025,Winter,Weekend,Commercial & Employment Core,17631,17673,42,18229
2025-02-01,2025,Winter,Weekend,Commuter-Heavy Transit Hub,764,897,133,1092
2025-02-01,2025,Winter,Weekend,Leisure & Waterfront,1229,1336,107,1671
2025-02-01,2025,Winter,Weekend,Residential & Inner-Suburban Feeder,3332,3082,-250,4528
2025-03-01,2025,Spring,Weekday,Commercial & Employment Core,167305,165046,-2259,94510
2025-03-01,2025,Spring,Weekday,Commuter-Heavy Transit Hub,18631,21390,2759,8461
2025-03-01,2025,Spring,Weekday,Leisure & Waterfront,14085,15015,930,13343
